,,,,,,annual_inc,annual_inc,dti,dti,installment,installment,int_rate,int_rate,loan_amnt,loan_amnt,revol_bal,revol_bal,revol_util,revol_util,total_pymnt,total_pymnt
loan_status,,,,,,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid
term,grade,purpose,emp_length,home_ownership,verification_status,,,,,,,,,,,,,,,,
 36 months,A,major_purchase,mid,MORTGAGE,Not Verified,69245,64000,10.905,7.26,194.595,185.64,8.405,6.99,6175,6000,15827.5,3419,18.65,10.1,5030.75,6599.92275
 36 months,A,major_purchase,mid,MORTGAGE,Source Verified,50400,60500,6.12,9.8,347.98,214.44,7.42,6.99,11200,7000,10106,3256.5,59.4,20.05,8565.07,7703.878052
 36 months,A,major_purchase,mid,MORTGAGE,Verified,,75000,,6.89,,200.47,,7.51,,6500,,3302,,19.4,,7142.766143
 36 months,A,major_purchase,mid,OTHER,Not Verified,,48732,,8.94,,111.82,,9.32,,3500,,280,,2.1,,4023.028608
 36 months,A,major_purchase,mid,OWN,Not Verified,,50000,,10.5,,151.64,,6.76,,5000,,4407,,27.2,,5456.88237
 36 months,A,major_purchase,mid,OWN,Source Verified,,45000,,0.75,,242.62,,6.03,,8000,,1492,,5.2,,8449.074961
 36 months,A,major_purchase,mid,OWN,Verified,125000,72500,1.08,12.43,933.33,218.91,7.51,7.465,30000,7000,740,8585,3.2,42.25,5574.67,7859.534074
 36 months,A,major_purchase,mid,RENT,Not Verified,52500,53000,12.49,12.49,290.055,156.46,8.195,7.51,9250,5000,964.5,4086,20.07,30,6504.07,5632.206655
 36 months,A,major_purchase,mid,RENT,Source Verified,,50002,,10.375,,199.405,,7.39,,6500,,4148.5,,16.6,,7179.089379
 36 months,A,major_purchase,mid,RENT,Verified,,70800,,6.785,,272.7,,7.51,,8800,,1270,,8.95,,9722.029484
 36 months,A,major_purchase,new,MORTGAGE,Not Verified,45292.8,62200,16.27,9.015,158.06,168.45,8,7.49,5000,5500,12693,4307.5,35.3,15.4,3064.06,5947.872816
 36 months,A,major_purchase,new,MORTGAGE,Source Verified,31200,65500,15.85,8.785,32.67,184.83,7.51,7.215,1050,6000,4061,3231.5,73.8,22.35,390.12,6311.757527
 36 months,A,major_purchase,new,MORTGAGE,Verified,,93000,,6.21,,281.53,,6.17,,9600,,3387,,18.8,,9610.880368
 36 months,A,major_purchase,new,OTHER,Not Verified,,186000,,4.06,,77.65,,7.4,,2500,,14063,,50.2,,2746.653811
 36 months,A,major_purchase,new,OWN,Not Verified,,29776.5,,8.215,,178.775,,7.585,,5750,,1194,,14.2,,6372.732154
 36 months,A,major_purchase,new,OWN,Source Verified,26880,32000,1.47,6.45,140.31,194,7.66,6.91,4500,6200,2205,557,11.2,7.5,1164.39,6983.982788
